tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
141,567,49,269,0.6900584795321637,0.7421052631578947,0.3439024390243902,0.47,0.8330376940133039,FFPP,CDF,spatial,0
16,606,10,394,0.6062378167641326,0.6153846153846154,0.03902439024390244,0.07339449541284404,0.855529379157428,FFPP,CDF,freq,0
233,333,283,177,0.5516569200779727,0.45155038759689925,0.5682926829268292,0.5032397408207343,0.5617199873297434,FFPP,CDF,hybrid,0
280,657,0,302,0.7562550443906376,1.0,0.48109965635738833,0.6496519721577726,0.7744956508549221,CDF,FFPP,spatial,0
475,258,399,107,0.5916061339790153,0.5434782608695652,0.8161512027491409,0.6524725274725275,0.5616202984512545,CDF,FFPP,freq,0
283,616,41,299,0.7255851493139629,0.8734567901234568,0.48625429553264604,0.6247240618101545,0.7978419034767008,CDF,FFPP,hybrid,0
