tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
629,813,481,668,0.5565418757236589,0.5666666666666667,0.48496530454895914,0.5226422933111757,0.5833021513205483,FFPP,FFPP,spatial,0
396,751,543,901,0.44268622153608644,0.4217252396166134,0.3053199691595991,0.3542039355992844,0.4302998597405259,FFPP,FFPP,freq,0
503,773,521,794,0.4924739482825164,0.4912109375,0.38781804163454126,0.43343386471348555,0.5221459818699435,FFPP,FFPP,hybrid,0
587,401,632,361,0.49873801110550225,0.4815422477440525,0.619198312236287,0.5417628057221966,0.5067452342732037,CDF,CDF,spatial,0
172,858,175,776,0.5199394245330641,0.4956772334293948,0.18143459915611815,0.26563706563706563,0.4604338475866041,CDF,CDF,freq,0
529,529,504,419,0.5340737001514386,0.5121006776379478,0.5580168776371308,0.5340737001514386,0.5832761486963944,CDF,CDF,hybrid,0
