tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
195,244,156,176,0.569390402075227,0.5555555555555556,0.5256064690026954,0.5401662049861495,0.67411051212938,FFPP,FFPP,spatial,0
130,241,159,241,0.48119325551232167,0.44982698961937717,0.3504043126684636,0.3939393939393939,0.5756266846361185,FFPP,FFPP,freq,0
285,200,200,86,0.62905317769131,0.5876288659793815,0.7681940700808625,0.6658878504672897,0.6269878706199461,FFPP,FFPP,hybrid,0
240,134,142,0,0.7248062015503876,0.6282722513089005,1.0,0.7717041800643086,0.9984752415458937,CDF,CDF,spatial,0
129,212,64,111,0.6608527131782945,0.6683937823834197,0.5375,0.5958429561200924,0.7326690821256039,CDF,CDF,freq,0
240,212,64,0,0.875968992248062,0.7894736842105263,1.0,0.8823529411764706,1.0,CDF,CDF,hybrid,0
