tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
875,539,737,358,0.5635711438820247,0.542803970223325,0.7096512570965126,0.6151142355008787,0.6097426568732885,FFPP,CDF,spatial,0
756,707,569,477,0.5831008369868473,0.570566037735849,0.6131386861313869,0.5910867865519938,0.6631279444330036,FFPP,CDF,freq,0
865,574,702,368,0.5735352730171382,0.5520102105934908,0.7015409570154095,0.6178571428571429,0.5508635308534628,FFPP,CDF,hybrid,0
548,1304,281,1007,0.5898089171974522,0.661037394451146,0.352411575562701,0.4597315436241611,0.6679412092872286,CDF,FFPP,spatial,0
20,1585,0,1535,0.5111464968152867,1.0,0.012861736334405145,0.025396825396825397,0.34993457555255764,CDF,FFPP,freq,0
456,1046,539,1099,0.478343949044586,0.45829145728643217,0.2932475884244373,0.35764705882352943,0.5200774950044124,CDF,FFPP,hybrid,0
