tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
1557,2373,1596,2038,0.5195663670015864,0.4938154138915319,0.43310152990264256,0.46147006520450506,0.5197747073897813,FFPP,CDF,spatial,0
623,2770,1199,2972,0.44857218402961396,0.3419319429198683,0.17329624478442282,0.2300166143621931,0.40867253201182596,FFPP,CDF,freq,0
1293,3144,825,2302,0.5865943945002644,0.6104815864022662,0.3596662030598053,0.45265184666549974,0.6336280373170233,FFPP,CDF,hybrid,0
643,4324,327,3702,0.552134281903068,0.6628865979381443,0.14798619102416571,0.24195672624647224,0.5819456770745319,CDF,FFPP,spatial,0
554,4413,238,3791,0.552134281903068,0.6994949494949495,0.12750287686996548,0.21569009149308935,0.5605877598120999,CDF,FFPP,freq,0
918,4024,627,3427,0.5493552690084482,0.5941747572815534,0.21127733026467205,0.31171477079796267,0.5303122260602482,CDF,FFPP,hybrid,0
