tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
751,281,609,303,0.5308641975308642,0.5522058823529412,0.7125237191650854,0.6222038111019056,0.5645203931518239,FFPP,CDF,spatial,0
510,560,330,544,0.5504115226337448,0.6071428571428571,0.4838709677419355,0.5385427666314678,0.5890145619683176,FFPP,CDF,freq,0
634,547,343,420,0.6075102880658436,0.6489252814738997,0.6015180265654649,0.6243229935992122,0.6304117007440888,FFPP,CDF,hybrid,0
562,1168,105,732,0.6739384495520062,0.8425787106446777,0.43431221020092736,0.5731769505354412,0.71220637639914,CDF,FFPP,spatial,0
1,1253,20,1293,0.48850798597584727,0.047619047619047616,0.0007727975270479134,0.001520912547528517,0.5585942005582597,CDF,FFPP,freq,0
634,928,345,660,0.6084924035839502,0.6475995914198162,0.4899536321483771,0.557853057633084,0.7099799546155985,CDF,FFPP,hybrid,0
