model,train_dataset,test_dataset,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
freq,CDF,CDF,0.5507627919535575,0.012760344496154197,0.5362974716396844,0.017409170992626136,0.41365119909181214,0.024897239650609214,0.46675165527555457,0.018590076010766832,0.5492902781593957,0.009509524807232545
freq,FFPP,FFPP,0.5257504499796783,0.03596937846638686,0.5182785596782651,0.029080417612700155,0.6133426475724765,0.11446766254118808,0.5601004536632268,0.06620541804981007,0.5446399191363519,0.04034360699950665
hybrid,CDF,CDF,0.7803429188605374,0.008362835515565601,0.7790511710064792,0.0047311425622206076,0.7515254718319854,0.03001302299449601,0.7647857421237787,0.01404166971797832,0.8394517734290039,0.008634955165371248
hybrid,FFPP,FFPP,0.5784125878186147,0.01954789713030561,0.5711761971342314,0.010187624582366486,0.6161369193154034,0.08617268010859488,0.5912320336046268,0.043443435146226284,0.616050690594358,0.007136201049010322
spatial,CDF,CDF,0.8744430943701903,0.005095077207537126,0.8534775122389372,0.015189044937630427,0.8890307932453526,0.009673465001932289,0.8707742785018207,0.003529612688734694,0.9446480380064702,0.0027501832670057233
spatial,FFPP,FFPP,0.6376357196771759,0.007650962740534918,0.6681912093581607,0.01359511008875595,0.5436022819885901,0.0037019706824041577,0.5994240340250383,0.003945637646035212,0.6928385297515586,0.0026117602426861774
