model,train_dataset,test_dataset,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
freq,CDF,CDF,0.5808224755700325,0.009204116087506,0.5587027955097631,0.011995696517660031,0.5459893815468503,0.07979337497653606,0.5501010160251932,0.0374440646768652,0.6146057298056875,0.013427912182569068
freq,FFPP,FFPP,0.5597166579573826,0.011350617650980152,0.5434275686358196,0.008128773379468312,0.7324484806147398,0.019406488834214624,0.6239018368169411,0.011577323695612428,0.5704208503677028,0.008279492941173803
hybrid,CDF,CDF,0.8267508143322475,0.010225869995825967,0.796657247516117,0.005198537175217915,0.8507676854641986,0.0217480081152799,0.8227597254934841,0.012192447650001827,0.8920241109707222,0.017799198821890055
hybrid,FFPP,FFPP,0.5658131568251757,0.012245554895792298,0.5611099434574428,0.013978705209769104,0.5983234369542437,0.04000330848392468,0.578488880646555,0.01684356079044256,0.5824288521017437,0.010529069702513223
spatial,CDF,CDF,0.8969191096634094,0.01084991403306305,0.8651098357219026,0.027374542549110724,0.9276797244941886,0.012206153145723495,0.8950050354606031,0.008763702259095993,0.9674092478520864,0.003225367246831299
spatial,FFPP,FFPP,0.6418742379376415,0.0014257712544630703,0.6750670555521534,0.0037331647291055058,0.5436022819885901,0.01199999286981715,0.6021708196707151,0.005995775794502316,0.6927173888155179,0.0028243344703471358
