tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
458,853,369,791,0.5305544314042897,0.5538089480048367,0.366693354683747,0.441233140655106,0.48439275151708927,FFPP,FFPP,spatial,0
472,799,423,777,0.5143666531768515,0.5273743016759777,0.377902321857486,0.44029850746268656,0.4999036872706021,FFPP,FFPP,freq,0
683,605,617,566,0.5212464589235127,0.5253846153846153,0.5468374699759808,0.5358964299725383,0.5249351690845311,FFPP,FFPP,hybrid,0
629,625,284,376,0.6551724137931034,0.6889375684556407,0.6258706467661691,0.6558915537017727,0.7098686983126172,CDF,CDF,spatial,0
776,412,497,229,0.6206896551724138,0.6095836606441477,0.7721393034825871,0.6812993854258121,0.6908406263511923,CDF,CDF,freq,0
537,614,295,468,0.6013584117032393,0.6454326923076923,0.5343283582089552,0.5846488840500816,0.6673037452999032,CDF,CDF,hybrid,0
