tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
752,307,602,253,0.5532915360501567,0.5553914327917282,0.7482587064676617,0.6375582874099195,0.6087647570727222,FFPP,CDF,spatial,0
852,493,416,153,0.7027168234064786,0.6719242902208202,0.8477611940298507,0.7496700395952486,0.7223059619394776,FFPP,CDF,freq,0
806,245,664,199,0.5491118077324973,0.5482993197278911,0.8019900497512438,0.6513131313131313,0.5521594448002014,FFPP,CDF,hybrid,0
912,332,890,337,0.5034399028733306,0.5061043285238623,0.7301841473178543,0.5978367748279253,0.5575006650164649,CDF,FFPP,spatial,0
160,1030,192,1089,0.48158640226628896,0.45454545454545453,0.12810248198558846,0.19987507807620236,0.5047763251517745,CDF,FFPP,freq,0
321,963,259,928,0.519627681100769,0.553448275862069,0.2570056044835869,0.35101148168398033,0.463817862800879,CDF,FFPP,hybrid,0
