model,train_dataset,test_dataset,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
freq,CDF,CDF,0.562805208898535,0.015900978239942465,0.5291504914426972,0.01766192407284749,0.4952604319358937,0.03878300364374285,0.5113573193782605,0.027757834949483966,0.5859967306075435,0.02779412668234523
freq,FFPP,FFPP,0.5314533622559653,0.024285567191550034,0.5123058363124579,0.028132485794523446,0.5604619565217391,0.1313048505250199,0.5294736769906639,0.05474857127833454,0.5456154976780622,0.036607777330809596
hybrid,CDF,CDF,0.8584735033459938,0.014461883794967866,0.8510590043816944,0.03422403798262359,0.8432522231994527,0.02266395435472584,0.8465999725158803,0.012714160459198756,0.9235840513115847,0.005322541635426396
hybrid,FFPP,FFPP,0.6098336948662327,0.007153693789201196,0.5881995469003232,0.00693622469318074,0.618131038647343,0.011596178264316845,0.60277564942962,0.00845033113288594,0.6498094884697535,0.00828614335787504
spatial,CDF,CDF,0.9154458310725268,0.00312972734322162,0.9060500520397987,0.010113084034767968,0.9119515293657773,0.006995223362913449,0.9089416375595967,0.002831552749535959,0.9689280659398943,0.0013942334038650624
spatial,FFPP,FFPP,0.7004338394793926,0.0020261975805063986,0.6619898609092693,0.005007310910822602,0.7655495169082126,0.009395143648853592,0.709967187182369,0.0012666200960919124,0.7800310517704651,0.0020122049466902393
