model,train_dataset,test_dataset,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
freq,CDF,FFPP,0.5708966015907447,0.007004134280802255,0.5489375712918475,0.012329918237141682,0.5962409420289855,0.07234053153039727,0.5697377175697319,0.025675276302774313,0.590756334923192,0.0021711263605405495
freq,FFPP,CDF,0.5500090432266233,0.005453560534318902,0.6209837650133352,0.02701221114481452,0.06889475227206097,0.016648807815304232,0.1237446324552071,0.027311015008372286,0.6553758423432335,0.006773932054863909
hybrid,CDF,FFPP,0.5686912509038322,0.01155000012849932,0.7888776606617623,0.08221653899405279,0.1428894927536232,0.055513336670888674,0.23724416059255082,0.07295745364411245,0.5630406531443202,0.011372308967898223
hybrid,FFPP,CDF,0.6113673358654368,0.02482736304463112,0.5837278535082812,0.036135882393262125,0.5702140134857813,0.015995863812024242,0.5761260867497673,0.009224691785938325,0.6477679139419364,0.031111858727227153
spatial,CDF,FFPP,0.557881417208966,0.0029788643608263956,0.9323159700389406,0.025843372068349968,0.08318236714975846,0.00923272695351593,0.15259093697752368,0.015301933491759113,0.6290931429299055,0.0005091283203602526
spatial,FFPP,CDF,0.6084282872128776,0.0062344177491931675,0.5709898241027423,0.006519738097522621,0.6183914785497899,0.012442719861152767,0.59370571290363,0.00751969355749435,0.6484167816904746,0.012557951885750368
