tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
45,309,280,385,0.34739941118743867,0.13846153846153847,0.10465116279069768,0.11920529801324503,0.30735578631499977,FFPP_NeuralTextures,CDF,spatial,0
73,589,0,357,0.6496565260058881,1.0,0.1697674418604651,0.29025844930417494,0.6239586212342559,FFPP_NeuralTextures,CDF,freq,0
200,183,406,230,0.3758586849852797,0.33003300330033003,0.46511627906976744,0.3861003861003861,0.3382556165357129,FFPP_NeuralTextures,CDF,hybrid,0
127,434,219,322,0.5090744101633394,0.3670520231213873,0.2828507795100223,0.31949685534591193,0.4002598935186922,CDF,FFPP_NeuralTextures,spatial,0
418,0,653,31,0.3793103448275862,0.3902894491129785,0.9309576837416481,0.55,0.5324031282721174,CDF,FFPP_NeuralTextures,freq,0
203,507,146,246,0.6442831215970962,0.5816618911174785,0.4521158129175947,0.5087719298245614,0.6685573181171703,CDF,FFPP_NeuralTextures,hybrid,0
