tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
76,202,293,429,0.278,0.20596205962059622,0.1504950495049505,0.17391304347826086,0.18724672467246725,FFPP,CDF,spatial,0
113,220,275,392,0.333,0.2912371134020619,0.22376237623762377,0.2530795072788354,0.2794959495949595,FFPP,CDF,freq,0
326,288,207,179,0.614,0.6116322701688556,0.6455445544554456,0.628131021194605,0.6416041604160416,FFPP,CDF,hybrid,0
357,292,345,165,0.5599654874892148,0.5085470085470085,0.6839080459770115,0.5833333333333334,0.6685071906746782,CDF,FFPP,spatial,0
182,297,340,340,0.41328731665228646,0.3486590038314176,0.3486590038314176,0.3486590038314176,0.45436583121312185,CDF,FFPP,freq,0
358,382,255,164,0.6384814495254529,0.5840130505709625,0.685823754789272,0.6308370044052863,0.7200959959580648,CDF,FFPP,hybrid,0
