tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
1015,2231,394,1455,0.6370951913640824,0.7203690560681334,0.4109311740890688,0.5233307553493168,0.7123297474455369,FFPP,CDF,spatial,0
1917,954,1671,553,0.5634936211972522,0.5342809364548495,0.7761133603238867,0.6328821393199076,0.5824788895315212,FFPP,CDF,freq,0
838,1788,837,1632,0.5154072620215898,0.5002985074626866,0.33927125506072875,0.4043425814234017,0.55247665317139,FFPP,CDF,hybrid,0
109,3021,32,2778,0.5269360269360269,0.7730496453900709,0.03775545549012816,0.07199471598414796,0.593019398319335,CDF,FFPP,spatial,0
2178,987,2066,709,0.5328282828282829,0.5131950989632422,0.7544163491513682,0.6108540176693311,0.5918017347607122,CDF,FFPP,freq,0
262,2857,196,2625,0.525084175084175,0.5720524017467249,0.09075164530654659,0.15665171898355754,0.5568554997265149,CDF,FFPP,hybrid,0
