model,train_dataset,test_dataset,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
freq,CDF,FFPP,0.49283547746051665,0.0330318989179972,0.47838417100964525,0.022956423572531328,0.7120912881281546,0.061834941957455175,0.5718826530957107,0.032689485416812984,0.49492071911924046,0.050562160066079345
freq,FFPP,CDF,0.49554935565298264,0.06527997764358408,0.4476980684996848,0.05610530393467442,0.48471615720524025,0.22010812960622467,0.4514775193283274,0.12853354729940983,0.489282634771436,0.08169904821695662
hybrid,CDF,FFPP,0.5578914339504236,0.008667227685555732,0.8729985079678331,0.05248650905875416,0.08426596445029626,0.014241808856342285,0.15360028759811672,0.02445951627170665,0.48369803169972253,0.011892260236751526
hybrid,FFPP,CDF,0.5384615384615384,0.0445270609718852,0.49999564784991773,0.02766135287932611,0.829985443959243,0.11422810669838011,0.6206522900958651,0.012289672489175315,0.5634868547426655,0.04230023070450923
spatial,CDF,FFPP,0.525781821985148,0.00208921497285197,0.9387254901960785,0.06253603344202487,0.0054860653938994955,0.004670572010926654,0.010877161993604488,0.009221272120381116,0.6541603451932332,0.010476479136708619
spatial,FFPP,CDF,0.5829679819317125,0.01636222061202674,0.5472889157930071,0.015048883325603469,0.5362445414847161,0.2441528415130128,0.5176199174035335,0.1446886427932539,0.612005745580897,0.012716893488985538
