model,train_dataset,test_dataset,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
freq,CDF,CDF,0.5172047296399628,0.058967892448473516,0.4689896374006008,0.06514075647156954,0.5877729257641922,0.18450285515457868,0.5180047749489246,0.11453694738171306,0.5002646552864893,0.05212061909360781
freq,FFPP,FFPP,0.45486873757975105,0.01666357408583987,0.448148947921794,0.018934524823775986,0.6502084704849681,0.14433803646109403,0.5274608615166827,0.06316087908828405,0.4689900482510634,0.0656458062024707
hybrid,CDF,CDF,0.7148930516806163,0.012104400669475875,0.6984513602446508,0.025585060311112497,0.6631732168850073,0.027233414771899483,0.6797479508278063,0.00988670122887326,0.7873240789355735,0.007246645135345606
hybrid,FFPP,FFPP,0.5133354251647317,0.05132974485811677,0.49714237772771536,0.03523327685434006,0.7445687952600396,0.10776688115384389,0.5924312880191995,0.020627159269925945,0.5404506546178461,0.055429457214221954
spatial,CDF,CDF,0.8519994685797795,0.0010030336701568816,0.8977730922845826,0.021464338106408493,0.7633187772925764,0.02124982543335623,0.8247387018424605,0.003069795274017261,0.9140935343006058,0.0012643473285915499
spatial,FFPP,FFPP,0.6710595126032842,0.026706510672256104,0.6779862189670475,0.04056444354516953,0.6140004388852315,0.18556945234229233,0.6293632182749754,0.09882162860361385,0.7432873977315843,0.011801505440899758
