model,train_dataset,test_dataset,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
freq,CDF,FFPP,0.5073322053017485,0.04376758915227497,0.4889149043119863,0.027892699827018776,0.8738898756660746,0.11545293072824157,0.6264458769198097,0.053219275070032115,0.5679235880557556,0.00881950660222413
freq,FFPP,CDF,0.5518716577540107,0.07502656644832333,0.5866096500965035,0.1466783640702701,0.368421052631579,0.1277576645511017,0.42728599881227375,0.04977859828784685,0.5812479513783586,0.10426223171624675
hybrid,CDF,FFPP,0.4571347997743937,0.01783351579668627,0.43490417022932704,0.02127951590947573,0.47542924807578446,0.06446729467763743,0.4536311770292656,0.039743158561117355,0.5305459348765317,0.016165149320417047
hybrid,FFPP,CDF,0.6573975044563279,0.021505926747744243,0.683290834094306,0.10681521682215032,0.5774218154080855,0.24033270882086255,0.5931891840047704,0.11648663913098181,0.7466509822662121,0.023798852216580874
spatial,CDF,FFPP,0.5558375634517766,0.021947752573727393,0.552451150994523,0.037343189513693455,0.3700414446417999,0.04612420770529856,0.4415574316190218,0.033363352050541195,0.5177548156799054,0.02486856758766551
spatial,FFPP,CDF,0.5347593582887701,0.17679438775204856,0.48264365212583554,0.29133260140547673,0.2990083905415713,0.22542465612922033,0.36728265450931713,0.25567771784827337,0.5494824454185928,0.2368446898564524
