tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
453,544,93,185,0.7819607843137255,0.8296703296703297,0.7100313479623824,0.7652027027027027,0.9011702583131154,FFPP,FFPP,spatial,0
422,55,582,216,0.37411764705882355,0.4203187250996016,0.6614420062695925,0.5140073081607796,0.25585990364315486,FFPP,FFPP,freq,0
400,412,225,238,0.6368627450980392,0.64,0.6269592476489029,0.6334125098970704,0.6780657765879442,FFPP,FFPP,hybrid,0
392,318,177,93,0.7244897959183674,0.6889279437609842,0.8082474226804124,0.7438330170777988,0.8215557638238051,CDF,CDF,spatial,0
467,34,461,18,0.5112244897959184,0.5032327586206896,0.9628865979381444,0.6610049539985846,0.5683473914401749,CDF,CDF,freq,0
393,356,139,92,0.7642857142857142,0.7387218045112782,0.8103092783505155,0.7728613569321534,0.7846048109965635,CDF,CDF,hybrid,0
