tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
60,404,91,425,0.47346938775510206,0.3973509933774834,0.12371134020618557,0.18867924528301888,0.5431386025200459,FFPP,CDF,spatial,0
237,338,157,248,0.5867346938775511,0.6015228426395939,0.488659793814433,0.5392491467576792,0.6438404665208788,FFPP,CDF,freq,0
179,386,109,306,0.576530612244898,0.6215277777777778,0.36907216494845363,0.463130659767141,0.6472081641153806,FFPP,CDF,hybrid,0
135,634,3,503,0.6031372549019608,0.9782608695652174,0.2115987460815047,0.3479381443298969,0.7412095293868692,CDF,FFPP,spatial,0
488,276,361,150,0.5992156862745098,0.574793875147232,0.7648902821316614,0.65635507733692,0.5654837773064374,CDF,FFPP,freq,0
111,578,59,527,0.5403921568627451,0.6529411764705882,0.17398119122257052,0.2747524752475248,0.7300630404078681,CDF,FFPP,hybrid,0
