tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
289,25,470,196,0.32040816326530613,0.380764163372859,0.5958762886597938,0.4646302250803859,0.374795376444861,FFPP,CDF,spatial,0
485,0,495,0,0.49489795918367346,0.49489795918367346,1.0,0.6621160409556314,0.6762053524940123,FFPP,CDF,freq,0
252,222,273,233,0.48367346938775513,0.48,0.5195876288659794,0.499009900990099,0.48528584817244613,FFPP,CDF,hybrid,0
331,463,174,271,0.6408393866020985,0.6554455445544555,0.5498338870431894,0.5980126467931346,0.742214596035194,CDF,FFPP,spatial,0
436,227,410,166,0.5351089588377724,0.5153664302600472,0.7242524916943521,0.6022099447513812,0.5239494724544559,CDF,FFPP,freq,0
324,365,272,278,0.5560936238902341,0.5436241610738255,0.5382059800664452,0.5409015025041736,0.5962881446982065,CDF,FFPP,hybrid,0
