model,train_dataset,test_dataset,acc_mean,acc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
freq,CDF,FFPP,0.540633824913712,0.05318365630506991,0.513008407730033,0.03551814380513339,0.8946675444371297,0.044460287043852624,0.6506873998505731,0.016121265252452326,0.6543642636910879,0.026542940413128793
freq,FFPP,CDF,0.5072924953593212,0.05098992165682907,0.47310051004697984,0.05030036124147881,0.5501449275362319,0.3334942270803262,0.47310301734905646,0.15367526008300403,0.5156207233626589,0.059884175426461836
hybrid,CDF,FFPP,0.5586235749398598,0.004485259207696153,0.9429169149288316,0.026021606146580025,0.07899934167215274,0.012298579125917978,0.14555644330915926,0.020587366412418352,0.5066555708691769,0.008891299187867331
hybrid,FFPP,CDF,0.5383187483426147,0.04215700198538522,0.5033068289837558,0.031038110259464728,0.763768115942029,0.1917491535058117,0.5972988755372772,0.03911865257230488,0.5628392621870882,0.044669054929319926
spatial,CDF,FFPP,0.5305930342014434,0.0033939924149331588,0.76929012345679,0.06482859201016963,0.021066491112574064,0.007477167012245259,0.040952174167891944,0.014307764497640183,0.6640743363176477,0.00963298716891098
spatial,FFPP,CDF,0.550782285865818,0.0157124323143342,0.5001698791782346,0.02503933514430322,0.4985507246376812,0.28266264813873804,0.47002937982042864,0.18864005177396706,0.5713814866760168,0.005778761680159857
