tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
364,163,490,101,0.47137745974955275,0.4262295081967213,0.7827956989247312,0.5519332827899924,0.5378682342867493,FFPP_Face2Face,FFPP_Face2Face,spatial,0
309,404,249,156,0.6377459749552773,0.553763440860215,0.6645161290322581,0.6041055718475073,0.4734805447150455,FFPP_Face2Face,FFPP_Face2Face,freq,0
286,289,364,179,0.5143112701252236,0.44,0.6150537634408603,0.5130044843049327,0.5185331554940802,FFPP_Face2Face,FFPP_Face2Face,hybrid,0
267,368,221,163,0.6231599607458292,0.5471311475409836,0.6209302325581395,0.5816993464052288,0.5490504204998617,CDF,CDF,spatial,0
404,148,441,26,0.5417075564278705,0.47810650887573963,0.9395348837209302,0.6337254901960784,0.780961029731117,CDF,CDF,freq,0
254,424,165,176,0.6653581943081452,0.6062052505966588,0.5906976744186047,0.5983510011778563,0.5902594069570024,CDF,CDF,hybrid,0
