tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
324,88,501,106,0.4043179587831207,0.3927272727272727,0.7534883720930232,0.5163346613545817,0.28934338847869856,FFPP_Face2Face,CDF,spatial,0
182,378,211,248,0.549558390578999,0.4631043256997455,0.4232558139534884,0.4422843256379101,0.5986753267264184,FFPP_Face2Face,CDF,freq,0
312,144,445,118,0.4474975466143278,0.41215323645970936,0.7255813953488373,0.5256950294860994,0.3594109053579184,FFPP_Face2Face,CDF,hybrid,0
138,434,219,327,0.5116279069767442,0.3865546218487395,0.2967741935483871,0.3357664233576642,0.4100808509937592,CDF,FFPP_Face2Face,spatial,0
418,0,653,47,0.3738819320214669,0.3902894491129785,0.8989247311827957,0.5442708333333334,0.5232788288955853,CDF,FFPP_Face2Face,freq,0
205,509,144,260,0.6386404293381037,0.5873925501432665,0.44086021505376344,0.5036855036855037,0.6630473085346376,CDF,FFPP_Face2Face,hybrid,0
