tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
209,258,395,240,0.4237749546279492,0.34602649006622516,0.46547884187082406,0.3969610636277303,0.5500738411375287,FFPP_FaceSwap,FFPP_FaceSwap,spatial,0
0,653,0,449,0.5925589836660617,0.0,0.0,0.0,0.4704004474807041,FFPP_FaceSwap,FFPP_FaceSwap,freq,0
185,349,304,264,0.484573502722323,0.3783231083844581,0.41202672605790647,0.39445628997867804,0.5413288676214285,FFPP_FaceSwap,FFPP_FaceSwap,hybrid,0
267,368,221,163,0.6231599607458292,0.5471311475409836,0.6209302325581395,0.5816993464052288,0.5490504204998617,CDF,CDF,spatial,0
404,148,441,26,0.5417075564278705,0.47810650887573963,0.9395348837209302,0.6337254901960784,0.780961029731117,CDF,CDF,freq,0
254,424,165,176,0.6653581943081452,0.6062052505966588,0.5906976744186047,0.5983510011778563,0.5902594069570024,CDF,CDF,hybrid,0
