tp,tn,fp,fn,acc,precision,recall,f1,auc,train_dataset,test_dataset,model,seed
1592,2126,933,1387,0.6157668102020537,0.6304950495049505,0.5344075193017791,0.5784883720930233,0.6491384992978528,FFPP,CDF,spatial,0
2701,282,2777,278,0.4940377608479629,0.4930631617378605,0.9066800939912723,0.6387607898782074,0.5419663700167271,FFPP,CDF,freq,0
1987,1879,1180,992,0.640278237827095,0.6274076413009156,0.667002349781806,0.6465994142531728,0.6541453243424249,FFPP,CDF,hybrid,0
460,3059,522,3042,0.49682337992376113,0.4684317718940937,0.13135351227869788,0.20517395182872436,0.5735216370555238,CDF,FFPP,spatial,0
711,2894,687,2791,0.5089651277707187,0.5085836909871244,0.20302684180468303,0.29020408163265304,0.476307311368411,CDF,FFPP,freq,0
391,3204,377,3111,0.5075532966257236,0.5091145833333334,0.11165048543689321,0.18313817330210772,0.496604246251115,CDF,FFPP,hybrid,0
